Title,Number,Barcode,Author,Summary,Status
The catcher in the rye ,,,,"It's Christmas time and Holden Caulfield has just been expelled from yet another school...Fleeing the crooks at Pencey Prep, he pinballs around New York City seeking solace in fleeting encounters—shooting the bull with strangers in dive hotels, wandering alone round Central Park, getting beaten up by pimps and cut down by erstwhile girlfriends. The city is beautiful and terrible, in all its neon loneliness and seedy glamour, its mingled sense of possibility and emptiness. Holden passes through it like a ghost, thinking always of his kid sister Phoebe, the only person who really understands him, and his determination to escape the phonies and find a life of true meaning.The Catcher in the Rye is an all-time classic in coming-of-age literature- an elegy to teenage alienation, capturing the deeply human need for connection and the bewildering sense of loss as we leave childhood behind.
J.D. Salinger's
 (1919–2010) classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.",Available
The girl with a baby ,  F OLS,GRAY18928,"Olsen, Sylvia,","You are the same girl that came to school last year. They are the same kids. But nothing was the same and I knew it. I had become the girl with a baby. Jane has always been the good Williams. Her brothers might be high school dropouts and late-night rowdy partiers, but never Jane. Jane never drinks, smokes dope or misses a single day of school. She's in the drama club...smart and hot...one of the popular ones. Or she used to be. Now she's one of those: the teenage mothers packing diaper bags with their knapsacks, wheeling strollers into the high school daycare, tired and grumpy.Jane's only 14, younger than most of them, and she can feel the stares in the school halls. She can hear the whispers on her whitebread street, too: too bad, gone the way of her brothers, guess those Indians are all the same. Jane isn't what she used to be-but then, maybe she's more. When baby Destiny was being born, grandmother Tet told her she came from a long line of strong mothers, and Jane's discovering it's true. Because of baby Destiny, Jane dares to demand the best, not just of herself, but of her whole family. This Jane accepts the consequences of her decisions, good and bad, and pushes through prejudices the former Jane just tiptoed around. This Jane is a strong link in something bigger than herself. She's a girl with a baby, two feet on the ground, one hand in the warm grasp of Tet and her Indian past, and the other holding firmly to the future.",Available
The Gift of Reading, 372 BOU,GRAY382560,"Bouchard, David","Promoting literacy should be our focus from before our children are born until they leave secondary school. Teaching children to read and to love reading is the shared responsibility of every teacher, every administrator and every parent. Together, David Bouchard and Wendy Sutton explore how we can turn our homes and our schools into environments rich in literature and how we can model the love of reading for our children and our students.",Available
Refuge Cove , F CHO,GRAY16217,"Choyce, Lesley,","Greg is an avid sailor. On a solo trip off the rugged Newfoundland coast, he stumbles upon a family of desperate refugees stranded in a lifeboat. Fearing for their lives if they are deported to their homeland, the family convinces Greg to help them, and keep their existence secret. He promises not to call the authorities and takes the family home. When his plan begins to unravel, and the family flees into the teeth of an oncoming storm, Greg goes after them. A thrilling story that demonstrates the importance of community and the power of conviction, Refuge Cove is also an exciting adventure.",Available
Avalanche :, F KRO,GRAY18160,"Kropp, Paul,",A group of teens is trapped by an avalanche in British Columbia--not all of them survive.,Available
Exposure , F MUR,GRAY17911,"Murdoch, Patricia,","Julie is tired of being tormented at school, tired of not fitting in and being the butt of jokes. When her brother brings home a camera with images of her chief tormentor in a compromising situation, she sees a way to level the playing field. When her attempt at turning the tables goes wrong, she is left even more on the outside and struggling to do the right thing.Also available in Spanish.","October 7, 2022"
First time , F TIL,GRAY20747,"Tilly, Meg.","Haley and Lynn are best friends. When Lynn meets Chad, a player several years older, Haley feels left out. She tries to be happy for her friend, but when her mother's new boyfriend starts making unwanted advances, Haley finds she has no one to tell. Not wanting to upset her mother's happiness and finding that Lynn is drifting away, Haley has to face her tormentor alone and face up to some very hard truths.",Available
Stuffed , F WAL,GRAY17858,"Walters, Eric,","When Ian and his classmates watch a documentary about the health concerns of eating fast food, Ian decides to start a boycott and stop everyone he can from eating at Frankie's, a huge fast-food chain with a questionable menu. The boycott takes off and Frankie's gets concerned. The company's lawyers threaten Ian and his friends and try to force them to stop the boycott. Ian must convince others that the boycott is a good idea. Can Ian stand up for what he believes in? Can you take on a corporate behemoth and win?Also available in Spanish.",Available
Happiness :,152.4 NET,GRAY18897,"Nettle, Daniel.","Bringing together the latest insights from psychiatry, psychology, and philosophy, Daniel Nettle sheds light on happiness, the most basic of human desires. Nettle examines whether people are basically happy or unhappy, whether success can make us happy, what sort of remedies to unhappinesswork, why some people are happier than others, and much more. The book is packed with fascinating observations. We discover the evolutionary reason why negative thoughts are more powerful than positive ones. We read that happiness varies from country to country, for example, the Swiss are much more happy than Bulgarians. And we learn that, in a pollamong people aged 42 years old--peak mid-life crisis time--more than half rated their happiness an 8, 9, or 10 out of 10, and 90% rated it above 5. Nettle, a psychologist, is particularly insightful in discussing the brain systems underlying emotions and moods, ranging from serotonin, to moodenhancing drugs such as D-fenfluramine, which reduces negative thinking in less than an hour; to the part of the brain that, when electrically stimulated, provides feelings of benevolent calm and even euphoria. In the end, Nettle suggests that we would all probably be happier by trading income ormaterial goods for time with people or hobbies, though most people do not do so. Happiness offers a remarkable portrait of the feeling that poets, politicians, and philosophers all agree truly makes the world go round.",Available
Rights and responsibilities of Canadian citizens ,323.6 RIG,GRAY36768,"Hudak, Heather C"," ""Discuss what it means to be a Canadian citizen as well as the rights and responsibility as a citizen""",Available
Teens and employment ,331.3 TEE,GRAY36766,"Watkins, Heidi","Focusing on topics of special concern to students, this series makes complex issues less intimidating and more accessible; each book presents 10 to 14 readings from a variety of perspectives that allow readers to better understand the topic.;; Students must often make informed decisions about serious issues that will affect the course of their lives. Focusing on topics of special concern to students, the Issues That Concern You series helps make these complex issues less intimidating and more a",Available
Story Circle One,428.6 BAT,GRAY17713,"Burnaby, Barbara",Story Circle One (Level3) is published by Fitzhenry and Whiteside.,Available
How 3D printing will impact society ,621.9 MCC,GRAY381554,"McCarthy, Cecilia Pinto,","Examines the progress in 3D printing, looks at the science behind it, and discusses how it will shape our world in the future--",Available
Ultimate Spider-Man and His Amazing Friends  Vol 20,741.5 BEN,GRAY37123,"Bendis, Brian Michael.","Collects Ultimate Spider-Man #118-122. ""Spider-Man and his Amazing Friends!"" Things are changing in the young life of Peter Parker: Johnny Storm of the Fantastic Four is now his buddy - and the hot-headed super hero has taken a liking to Peter's classmate, Liz Allen! But something is horribly wrong with Liz - something that will soon affect the life of every student at Midtown High - including Peter's ex-girlfriend, Kitty Pryde!",Available
Tales of the weirrd [sic] ,741.5 STE,GRAY14515,"Steadman, Ralph.","Genuine weirdness is a rare quality. To be truly weird demands character and wanton disregard for the social mores of the day.

Unleashed in Tales of the Weirrd is Ralph Steadman's fantastic interpretations and biographies of nineteenth century grotesques, oddities, imposters and eccentrics. The book is a hilarious catalog of nature's freakish humor and, in the best Victorian tradition, it instructs as well as entertains. This crazy collection of dwarfs, and gluttons, wits and water-spouters includes:

Charles Charlesworth, who grew a beard at age four and died of old age at the age of seven Old Boots, who could hold a piece of money between his nose and chin Barbara Urselin, the hairy-faced woman Henry Lemoine, an eccentric bookseller Guillaume de Nittis, who tried to eat himself Fakir Agastiya, who kept his arm in the air for ten years Neville Vadio, the blind caricaturist, who was claimed by many to be a better draughtsman than Rembrandt. Tales of the Weirrd is an extraordinary celebration of the bizarre brought to life by the astonishing energy, imagination and power of Ralph Steadman's pen.",Available
The last dragon ,741.5 YOL,GRAY37408,"Yolen, Jane.","Two hundred years ago, humans drove the dragons from the islands of May. Now, the last of the dragons rises to wreak havoc anew—with only a healer's daughter and a kite-flying would-be hero standing in its way.",Available
The Best Defense - The Walking Dead Vol. 5,741.59 KIR,GRAY381038,Robert Kirkman,"The world we knew is gone. The world of commerce and frivolous necessity has been replaced by a world of survival and responsibility. An epidemic of apocalyptic proportions has swept the globe, causing the dead to rise and feed on the living. In a matter of months society has crumbled: no government, no grocery stores, no mail delivery, no cable TV. In a world ruled by the dead, the survivors are forced to finally start living. As the survivors settle into their prison home something has drawn them out into the open... out of the prison... out of their sanctuary. This is a major turning point for the overall story of The Walking Dead, setting the stage for years to come.",Available
This Sorrowful Life - The Walking Dead Vol. 6,741.59 KIR,GRAY381043,Robert Kirkman,"Trapped in a town surrounded by madmen, Rick must find a way out or die trying. Meanwhile, back at the prison, the rest of the survivors come to grips with the fact Rick may be dead. A major turning point in the series is reached. Collects issues #31-36.",Available
Here We Remain - The Walking Dead Vol. 9,741.59 KIR,GRAY381036,Robert Kirkman,"The world we knew is gone. The world of commerce and frivolous necessity has been replaced by a world of survival and responsibility. An epidemic of apocalyptic proportions has swept the globe, causing the dead to rise and feed",Available
Cool Puzzles For Kids,793.73 ARC,GRAY381494,Small World design,None,Available
5 minute mysteries for the armchair detective ,793.73 WEB,GRAY9926,"Weber, K. J.",None,Available
In The Garden; A Book of Poems,808 BUS,GRAY383345,"Bustard, Kylee","A sublime and seductive reading experience. This portrait of a beguiling Southern city was a best-seller (though a flop as a movie). ~ Shots rang out in Savannah's grandest mansion in the misty, early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this city of moss-hung oaks and shaded squares. John Berendt's narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt interweaves a first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case.The story is peopled by a gallery of remarkable characters: the well-bred society ladies of the Married Woman's Card Club; the turbulent young redneck gigolo; the hapless recluse who owns a bottle of poison so powerful it could kill every man, woman, and child in Savannah; the aging and profane Southern belle who is the ""soul of pampered self-absorption""; the uproarious black drag queen; the acerbic and arrogant antiques dealer; the sweet-talking, piano-playing con artist; young blacks dancing the minuet at the black debutante ball; and Minerva, the voodoo priestess who works her magic in the graveyard at midnight. These and other Savannahians act as a Greek chorus, with Berendt revealing the alliances, hostilities, and intrigues that thrive in a town where everyone knows everyone else.",Available
The story and its writer :,808.83 CHA,GRAY382225,"Charters, Ann","This brief edition of the most widely adopted book of its kind offers all of the editorial features of the longer book with about half the stories and writer commentaries in a shorter, less expensive format.",Available
